ip_address,hostname,port,protocol,cvss,severity,solution_type,nvt_name,summary,specific_result,nvt_oid,cves,task_id,task_name,timestamp,result_id,impact,solution,affected_software_os,vulnerability_insight,detection_method,product_detection_result,source_file
192.168.100.7,,80,tcp,7.5,High,Mitigation,Test HTTP dangerous methods,Misconfigured web servers allows remote clients to perform dangerous HTTP methods such as PUT and DELETE. This script checks if they are enabled and can be misused to upload or delete files.,We could upload the following files via the PUT method at this web server: http://192.168.100.7/dav/puttest726752734.html We could delete the following files via the DELETE method at this web server: http://192.168.100.7/dav/puttest726752734.html,1.3.6.1.4.1.25623.1.0.10498,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,b546632b-8866-469d-bb96-720343a9eab5,- Enabled PUT method: This might allow an attacker to upload and run arbitrary code on this web server. - Enabled DELETE method: This might allow an attacker to delete additional files on this web server.,Use access restrictions to these dangerous HTTP methods or disable them completely.,,,Details: Test HTTP dangerous methods (OID: 1.3.6.1.4.1.25623.1.0.10498) Version used: $Revision: 9335 $,,metasploitable_192.168.100.7.csv
192.168.100.7,,513,tcp,7.5,High,Mitigation,rlogin Passwordless / Unencrypted Cleartext Login,This remote host is running a rlogin service.,The service is misconfigured so it is allowing conntections without a password.,1.3.6.1.4.1.25623.1.0.901202,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,100eb630-3410-4fbd-8eef-eed3e38fe6b2,,Disable the rlogin service and use alternatives like SSH instead.,,"rlogin has several serious security problems, - all information, including passwords, is transmitted unencrypted. - .rlogin (or .rhosts) file is easy to misuse (potentially allowing anyone to login without a password)",Details: rlogin Passwordless / Unencrypted Cleartext Login (OID: 1.3.6.1.4.1.25623.1.0.901202) Version used: $Revision: 13541 $,,metasploitable_192.168.100.7.csv
192.168.100.7,,514,tcp,7.5,High,Mitigation,rsh Unencrypted Cleartext Login,This remote host is running a rsh service.,The rsh service is misconfigured so it is allowing conntections without a password or with default root:root credentials.,1.3.6.1.4.1.25623.1.0.100080,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,4e36d190-277c-45b8-8cfc-44f11c1cb599,,Disable the rsh service and use alternatives like SSH instead.,,"rsh (remote shell) is a command line computer program which can execute shell commands as another user, and on another computer across a computer network.",Details: rsh Unencrypted Cleartext Login (OID: 1.3.6.1.4.1.25623.1.0.100080) Version used: $Revision: 13010 $,,metasploitable_192.168.100.7.csv
192.168.100.7,,6200,tcp,7.5,High,VendorFix,vsftpd Compromised Source Packages Backdoor Vulnerability,vsftpd is prone to a backdoor vulnerability.,Vulnerability was detected according to the Vulnerability Detection Method.,1.3.6.1.4.1.25623.1.0.103185,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,12a054bb-c7ef-40b9-ba89-74f14700e297,Attackers can exploit this issue to execute arbitrary commands in the context of the application. Successful attacks will compromise the affected application.,The repaired package can be downloaded from the referenced link. Please validate the package with its signature.,The vsftpd 2.3.4 source package is affected.,,Details: vsftpd Compromised Source Packages Backdoor Vulnerability (OID: 1.3.6.1.4.1.25623.1.0.103185) Version used: $Revision: 12076 $,,metasploitable_192.168.100.7.csv
192.168.100.7,,21,tcp,6.4,Medium,Mitigation,Anonymous FTP Login Reporting,Reports if the remote FTP Server allows anonymous logins.,It was possible to login to the remote FTP service with the following anonymous account(s): anonymous:anonymous@example.com ftp:anonymous@example.com,1.3.6.1.4.1.25623.1.0.900600,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,6d6d6aa5-f574-4cb1-bd3e-66253bf76fd8,Based on the files accessible via this anonymous FTP login and the permissions of this account an attacker might be able to: - gain access to sensitive files - upload or delete files.,"If you do not want to share files, you should disable anonymous logins.",,"A host that provides an FTP service may additionally provide Anonymous FTP access as well. Under this arrangement, users do not strictly need an account on the host. Instead the user typically enters 'anonymous' or 'ftp' when prompted for username. Although users are commonly asked to send their email address as their password, little to no verification is actually performed on the supplied data.",Details: Anonymous FTP Login Reporting (OID: 1.3.6.1.4.1.25623.1.0.900600) Version used: $Revision: 12030 $,,metasploitable_192.168.100.7.csv
192.168.100.7,,25,tcp,5.0,Medium,Mitigation,SSL/TLS: Certificate Expired,The remote server's SSL/TLS certificate has already expired.,"The certificate of the remote service expired on 2010-04-16 14:07:45. Certificate details: subject ...: 1.2.840.113549.1.9.1=#726F6F74407562756E74753830342D626173652E6C6F63616C646F6D61696E,CN=ubuntu804-base.localdomain,OU=Office for Complication of Otherwise Simple Affairs,O=OCOSA,L=Everywhere,ST=There is no such thing outside US,C=XX subject alternative names (SAN): None issued by .: 1.2.840.113549.1.9.1=#726F6F74407562756E74753830342D626173652E6C6F63616C646F6D61696E,CN=ubuntu804-base.localdomain,OU=Office for Complication of Otherwise Simple Affairs,O=OCOSA,L=Everywhere,ST=There is no such thing outside US,C=XX serial ....: 00FAF93A4C7FB6B9CC valid from : 2010-03-17 14:07:45 UTC valid until: 2010-04-16 14:07:45 UTC fingerprint (SHA-1): ED093088706603BFD5DC237399B498DA2D4D31C6 fingerprint (SHA-256): E7A7FA0D63E457C7C4A59B38B70849C6A70BDA6F830C7AF1E32DEE436DE813CC",1.3.6.1.4.1.25623.1.0.103955,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,265082aa-8856-41ed-86f0-e346938b252c,,Replace the SSL/TLS certificate by a new one.,,This script checks expiry dates of certificates associated with SSL/TLS-enabled services on the target and reports whether any have already expired.,Details: SSL/TLS: Certificate Expired (OID: 1.3.6.1.4.1.25623.1.0.103955) Version used: $Revision: 11103 $,,metasploitable_192.168.100.7.csv
192.168.100.7,,25,tcp,5.0,Medium,Workaround,Check if Mailserver answer to VRFY and EXPN requests,The Mailserver on this host answers to VRFY and/or EXPN requests.,'VRFY root' produces the following answer: 252 2.0.0 root,1.3.6.1.4.1.25623.1.0.100072,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,1986cf87-3518-4da3-b2f7-9bd475c78e05,,"Disable VRFY and/or EXPN on your Mailserver. For postfix add 'disable_vrfy_command=yes' in 'main.cf'. For Sendmail add the option 'O PrivacyOptions=goaway'. It is suggested that, if you really want to publish this type of information, you use a mechanism that legitimate users actually know about, such as Finger or HTTP.",,"VRFY and EXPN ask the server for information about an address. They are inherently unusable through firewalls, gateways, mail exchangers for part-time hosts, etc.",Details: Check if Mailserver answer to VRFY and EXPN requests (OID: 1.3.6.1.4.1.25623.1.0.100072) Version used: $Revision: 13470 $,,metasploitable_192.168.100.7.csv
192.168.100.7,,80,tcp,5.0,Medium,WillNotFix,awiki Multiple Local File Include Vulnerabilities,awiki is prone to multiple local file-include vulnerabilities because it fails to properly sanitize user-supplied input.,Vulnerable url: http://192.168.100.7/mutillidae/index.php?page=/etc/passwd,1.3.6.1.4.1.25623.1.0.103210,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,8aba0e81-b229-461c-8187-1ef340bfb8ec,An attacker can exploit this vulnerability to obtain potentially sensitive information and execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the host. Other attacks are also possible.,"No known solution was made available for at least one year since the disclosure of this vulnerability. Likely none will be provided anymore. General solution options are to upgrade to a newer release, disable respective features, remove the product or replace the product by another one.",awiki 20100125 is vulnerable. Other versions may also be affected.,,Details: awiki Multiple Local File Include Vulnerabilities (OID: 1.3.6.1.4.1.25623.1.0.103210) Version used: $Revision: 10741 $,,metasploitable_192.168.100.7.csv
192.168.100.7,,5432,tcp,5.0,Medium,Mitigation,SSL/TLS: Certificate Expired,The remote server's SSL/TLS certificate has already expired.,"The certificate of the remote service expired on 2010-04-16 14:07:45. Certificate details: subject ...: 1.2.840.113549.1.9.1=#726F6F74407562756E74753830342D626173652E6C6F63616C646F6D61696E,CN=ubuntu804-base.localdomain,OU=Office for Complication of Otherwise Simple Affairs,O=OCOSA,L=Everywhere,ST=There is no such thing outside US,C=XX subject alternative names (SAN): None issued by .: 1.2.840.113549.1.9.1=#726F6F74407562756E74753830342D626173652E6C6F63616C646F6D61696E,CN=ubuntu804-base.localdomain,OU=Office for Complication of Otherwise Simple Affairs,O=OCOSA,L=Everywhere,ST=There is no such thing outside US,C=XX serial ....: 00FAF93A4C7FB6B9CC valid from : 2010-03-17 14:07:45 UTC valid until: 2010-04-16 14:07:45 UTC fingerprint (SHA-1): ED093088706603BFD5DC237399B498DA2D4D31C6 fingerprint (SHA-256): E7A7FA0D63E457C7C4A59B38B70849C6A70BDA6F830C7AF1E32DEE436DE813CC",1.3.6.1.4.1.25623.1.0.103955,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,eb40c19b-701c-4832-91e1-1e224c690cd9,,Replace the SSL/TLS certificate by a new one.,,This script checks expiry dates of certificates associated with SSL/TLS-enabled services on the target and reports whether any have already expired.,Details: SSL/TLS: Certificate Expired (OID: 1.3.6.1.4.1.25623.1.0.103955) Version used: $Revision: 11103 $,,metasploitable_192.168.100.7.csv
192.168.100.7,,21,tcp,4.8,Medium,Mitigation,FTP Unencrypted Cleartext Login,The remote host is running a FTP service that allows cleartext logins over unencrypted connections.,The remote FTP service accepts logins without a previous sent 'AUTH TLS' command. Response(s): Anonymous sessions: 331 Please specify the password. Non-anonymous sessions: 331 Please specify the password.,1.3.6.1.4.1.25623.1.0.108528,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,87825a56-4bd5-4713-9bed-5143f3979ff3,An attacker can uncover login names and passwords by sniffing traffic to the FTP service.,Enable FTPS or enforce the connection via the 'AUTH TLS' command. Please see the manual of the FTP service for more information.,,,Tries to login to a non FTPS enabled FTP service without sending a 'AUTH TLS' command first and checks if the service is accepting the login without enforcing the use of the 'AUTH TLS' command. Details: FTP Unencrypted Cleartext Login (OID: 1.3.6.1.4.1.25623.1.0.108528) Version used: $Revision: 13611 $,,metasploitable_192.168.100.7.csv
192.168.100.7,,23,tcp,4.8,Medium,Mitigation,Telnet Unencrypted Cleartext Login,The remote host is running a Telnet service that allows cleartext logins over unencrypted connections.,Vulnerability was detected according to the Vulnerability Detection Method.,1.3.6.1.4.1.25623.1.0.108522,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,4316c86c-d6ab-4e1d-a9d1-2b058515dc95,An attacker can uncover login names and passwords by sniffing traffic to the Telnet service.,Replace Telnet with a protocol like SSH which supports encrypted connections.,,,Details: Telnet Unencrypted Cleartext Login (OID: 1.3.6.1.4.1.25623.1.0.108522) Version used: $Revision: 13620 $,,metasploitable_192.168.100.7.csv
192.168.100.7,,80,tcp,4.8,Medium,Workaround,Cleartext Transmission of Sensitive Information via HTTP,"The host / application transmits sensitive information (username, passwords) in cleartext via HTTP.",The following input fields where identified (URL:input name): http://192.168.100.7/phpMyAdmin/:pma_password http://192.168.100.7/phpMyAdmin/?D=A:pma_password http://192.168.100.7/tikiwiki/tiki-install.php:pass http://192.168.100.7/twiki/bin/view/TWiki/TWikiUserAuthentication:oldpassword,1.3.6.1.4.1.25623.1.0.108440,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,b6fdcd8e-9826-4be5-8848-9e922358b0f0,An attacker could use this situation to compromise or eavesdrop on the HTTP communication between the client and the server using a man-in-the-middle attack to get access to sensitive data like usernames or passwords.,Enforce the transmission of sensitive data via an encrypted SSL/TLS connection. Additionally make sure the host / application is redirecting all users to the secured SSL/TLS connection before allowing to input sensitive data into the mentioned functions.,Hosts / applications which doesn't enforce the transmission of sensitive data via an encrypted SSL/TLS connection.,,Evaluate previous collected information and check if the host / application is not enforcing the transmission of sensitive data via an encrypted SSL/TLS connection. The script is currently checking the following: - HTTP Basic Authentication (Basic Auth) - HTTP Forms (e.g. Login) with input field of type 'password' Details: Cleartext Transmission of Sensitive Information via HTTP (OID: 1.3.6.1.4.1.25623.1.0.108440) Version used: $Revision: 10726 $,,metasploitable_192.168.100.7.csv
192.168.100.7,,2121,tcp,4.8,Medium,Mitigation,FTP Unencrypted Cleartext Login,The remote host is running a FTP service that allows cleartext logins over unencrypted connections.,The remote FTP service accepts logins without a previous sent 'AUTH TLS' command. Response(s): Anonymous sessions: 331 Password required for anonymous Non-anonymous sessions: 331 Password required for openvas-vt,1.3.6.1.4.1.25623.1.0.108528,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,df19ee47-23bf-4fc6-b726-a76bc76ec05e,An attacker can uncover login names and passwords by sniffing traffic to the FTP service.,Enable FTPS or enforce the connection via the 'AUTH TLS' command. Please see the manual of the FTP service for more information.,,,Tries to login to a non FTPS enabled FTP service without sending a 'AUTH TLS' command first and checks if the service is accepting the login without enforcing the use of the 'AUTH TLS' command. Details: FTP Unencrypted Cleartext Login (OID: 1.3.6.1.4.1.25623.1.0.108528) Version used: $Revision: 13611 $,,metasploitable_192.168.100.7.csv
192.168.100.7,,5900,tcp,4.8,Medium,Mitigation,VNC Server Unencrypted Data Transmission,The remote host is running a VNC server providing one or more insecure or cryptographically weak Security Type(s) not intended for use on untrusted networks.,The VNC server provides the following insecure or cryptographically weak Security Type(s): 2 (VNC authentication),1.3.6.1.4.1.25623.1.0.108529,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,e3386a5f-2dd1-4cdd-a9fb-56e9f89a49c3,An attacker can uncover sensitive data by sniffing traffic to the VNC server.,Run the session over an encrypted channel provided by IPsec [RFC4301] or SSH [RFC4254]. Some VNC server vendors are also providing more secure Security Types within their products.,,,Details: VNC Server Unencrypted Data Transmission (OID: 1.3.6.1.4.1.25623.1.0.108529) Version used: $Revision: 13014 $,,metasploitable_192.168.100.7.csv
192.168.100.7,,22,tcp,4.3,Medium,Mitigation,SSH Weak Encryption Algorithms Supported,The remote SSH server is configured to allow weak encryption algorithms.,The following weak client-to-server encryption algorithms are supported by the remote service: 3des-cbc aes128-cbc aes192-cbc aes256-cbc arcfour arcfour128 arcfour256 blowfish-cbc cast128-cbc rijndael-cbc@lysator.liu.se The following weak server-to-client encryption algorithms are supported by the remote service: 3des-cbc aes128-cbc aes192-cbc aes256-cbc arcfour arcfour128 arcfour256 blowfish-cbc cast128-cbc rijndael-cbc@lysator.liu.se,1.3.6.1.4.1.25623.1.0.105611,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,788c6c77-1a5f-4774-ad33-391f56edc179,,Disable the weak encryption algorithms.,,"The `arcfour` cipher is the Arcfour stream cipher with 128-bit keys. The Arcfour cipher is believed to be compatible with the RC4 cipher [SCHNEIER]. Arcfour (and RC4) has problems with weak keys, and should not be used anymore. The `none` algorithm specifies that no encryption is to be done. Note that this method provides no confidentiality protection, and it is NOT RECOMMENDED to use it. A vulnerability exists in SSH messages that employ CBC mode that may allow an attacker to recover plaintext from a block of ciphertext.","Check if remote ssh service supports Arcfour, none or CBC ciphers. Details: SSH Weak Encryption Algorithms Supported (OID: 1.3.6.1.4.1.25623.1.0.105611) Version used: $Revision: 13581 $",,metasploitable_192.168.100.7.csv
